,rft,thresh_0.0,thresh_1.0,thresh_2.0,absolute_difference_0.0,absolute_difference_1.0,absolute_difference_2.0,perc_brainvox_0.0,perc_brainvox_1.0,perc_brainvox_2.0,perc_brainvox_rft,perc_difference_0.0,perc_difference_1.0,perc_difference_2.0
TASK07_CON35_groupA_tstat1.nii.gz,79365,228349,152091,92696,148984,72726,13331,0.9994135231,0.6656556505,0.4057019559,0.3473562585,0.6520572647,0.3182993921,0.0583456975
TASK07_CON35_groupB_tstat1.nii.gz,91278,228280,156606,98583,137002,65328,7305,0.9991115313,0.6854164205,0.431467549,0.3994958049,0.5996157263,0.2859206155,0.0319717441
TASK07_CON36_groupA_tstat1.nii.gz,70258,228349,143272,79956,158091,73014,9698,0.9994135231,0.6270575929,0.3499428842,0.3074977132,0.6919158099,0.3195598797,0.042445171
TASK07_CON36_groupB_tstat1.nii.gz,64247,228280,143648,81964,164033,79401,17717,0.9991115313,0.6287032296,0.3587312842,0.2811894102,0.7179221211,0.3475138194,0.077541874
TASK07_CON37_groupA_tstat1.nii.gz,58355,228349,157458,102304,169994,99103,43949,0.9994135231,0.6891453631,0.4477532245,0.2554019336,0.7440115895,0.4337434295,0.1923512909
TASK07_CON37_groupB_tstat1.nii.gz,76821,228280,160614,106130,151459,83793,29309,0.9991115313,0.702958207,0.4644984528,0.3362219509,0.6628895804,0.3667362561,0.128276502
TASK07_CON38_groupA_tstat1.nii.gz,67796,228349,146491,88335,160553,78695,20539,0.9994135231,0.6411461684,0.3866151968,0.2967222944,0.7026912287,0.344423874,0.0898929023
TASK07_CON38_groupB_tstat1.nii.gz,72660,228280,154402,97884,155620,81742,25224,0.9991115313,0.6757701886,0.4284082404,0.3180105303,0.681101001,0.3577596583,0.1103977101
TASK07_CON39_groupA_tstat1.nii.gz,97416,228349,175685,129639,130933,78269,32223,0.9994135231,0.7689193507,0.5673901341,0.426359948,0.5730535751,0.3425594027,0.1410301861
TASK07_CON39_groupB_tstat1.nii.gz,105544,228280,182185,138257,122736,76641,32713,0.9991115313,0.7973678567,0.6051084763,0.4619337106,0.5371778207,0.3354341461,0.1431747657
TASK07_CON40_groupA_tstat1.nii.gz,82899,228349,162945,109878,145450,80046,26979,0.9994135231,0.7131602789,0.4809022991,0.3628234923,0.6365900308,0.3503367865,0.1180788067
TASK07_CON40_groupB_tstat1.nii.gz,92740,228280,169729,118948,135540,76989,26208,0.9991115313,0.7428517658,0.5205989067,0.4058945304,0.5932170008,0.3369572353,0.1147043763
TASK07_CON41_groupA_tstat1.nii.gz,54757,228349,148486,87093,173592,93729,32336,0.9994135231,0.6498776714,0.3811793438,0.2396545914,0.7597589317,0.4102230801,0.1415247524
TASK07_CON41_groupB_tstat1.nii.gz,52135,228280,148604,87365,176145,96469,35230,0.9991115313,0.6503941212,0.3823698043,0.2281789017,0.7709326296,0.4222152195,0.1541909026
TASK07_CON45_groupA_tstat1.nii.gz,93393,228349,168526,117961,134956,75133,24568,0.9994135231,0.7375866038,0.5162791105,0.4087525111,0.590661012,0.3288340927,0.1075265994
TASK07_CON45_groupB_tstat1.nii.gz,99868,228280,172981,122663,128412,73113,22795,0.9991115313,0.7570847722,0.5368583221,0.4370915998,0.5620199315,0.3199931724,0.0997667223
TASK07_CON46_groupA_tstat1.nii.gz,85225,228349,160978,106908,143124,75753,21683,0.9994135231,0.7045513233,0.4679035202,0.3730036808,0.6264098423,0.3315476425,0.0948998394
TASK07_CON46_groupB_tstat1.nii.gz,87474,228280,166875,114780,140806,79401,27306,0.9991115313,0.7303606833,0.5023568493,0.3828468639,0.6162646674,0.3475138194,0.1195099854
TASK07_CON47_groupA_tstat1.nii.gz,80496,228349,166505,115230,147853,86009,34734,0.9994135231,0.7287413068,0.5043263613,0.3523062985,0.6471072246,0.3764350083,0.1520200628
